Dataset Summary:
X Data
  total size: 39987 units
  batch size: 3999 units
  num. batches: 10
Allocation Model:  DP mixture with K=0. Concentration gamma0= 3.00
Obs. Data  Model:  Gaussian with full covariance.
Obs. Data  Prior:  Gauss-Wishart on mean and covar of each cluster
  E[  mean[k] ] = 
   [0. 0.]  ...
  E[ covar[k] ] = 
  [[1. 0.]
   [0. 1.]] ...
Initialization:
  initname = bregmankmeans
  K = 10 (number of clusters)
  seed = 1607680
  elapsed_time: 0.5 sec
Learn Alg: memoVB | task  1/1 | alg. seed: 1607680 | data order seed: 8541952
task_output_path: Model Generation 1\1
    0.100/200 after      0 sec. |   5431.6 MiB | K   10 | loss  5.914532666e-02 |  
    0.200/200 after      0 sec. |   5431.6 MiB | K   10 | loss -5.580978997e-02 |  
    0.300/200 after      0 sec. |   5431.6 MiB | K   10 | loss -1.046186185e-01 |  
    1.000/200 after      1 sec. |   5431.8 MiB | K   10 | loss -2.474919827e-01 |  
    2.000/200 after      3 sec. |   5431.8 MiB | K   10 | loss -2.634009471e-01 | Ndiff  322.621 
    3.000/200 after      4 sec. |   5431.8 MiB | K   10 | loss -2.671370093e-01 | Ndiff  148.144 
    4.000/200 after     11 sec. |   5432.4 MiB | K   10 | loss -2.691063875e-01 | Ndiff  311.808 
    5.000/200 after     17 sec. |   5432.5 MiB | K    9 | loss -2.704002721e-01 | Ndiff   91.899 
    6.000/200 after     23 sec. |   5432.8 MiB | K    9 | loss -2.713970404e-01 | Ndiff   68.968 
    7.000/200 after     28 sec. |   5432.8 MiB | K    9 | loss -2.716892746e-01 | Ndiff   34.696 
    8.000/200 after     34 sec. |   5432.9 MiB | K    9 | loss -2.717847466e-01 | Ndiff   23.341 
    9.000/200 after     39 sec. |   5432.9 MiB | K    9 | loss -2.718378546e-01 | Ndiff   12.767 
   10.000/200 after     45 sec. |   5432.9 MiB | K    9 | loss -2.718584916e-01 | Ndiff    6.349 
   11.000/200 after     51 sec. |   5432.9 MiB | K    9 | loss -2.718700981e-01 | Ndiff    4.686 
   12.000/200 after     57 sec. |   5432.9 MiB | K    9 | loss -2.718781704e-01 | Ndiff    2.998 
   13.000/200 after     62 sec. |   5432.9 MiB | K    9 | loss -2.718834952e-01 | Ndiff    1.936 
   14.000/200 after     68 sec. |   5432.9 MiB | K    9 | loss -2.718848121e-01 | Ndiff    1.017 
   15.000/200 after     73 sec. |   5432.9 MiB | K    9 | loss -2.718853960e-01 | Ndiff    0.719 
   16.000/200 after     78 sec. |   5432.9 MiB | K    9 | loss -2.718855996e-01 | Ndiff    0.489 
   17.000/200 after     83 sec. |   5432.9 MiB | K    9 | loss -2.718856902e-01 | Ndiff    0.317 
   18.000/200 after     88 sec. |   5432.9 MiB | K    9 | loss -2.718857426e-01 | Ndiff    0.196 
   19.000/200 after     93 sec. |   5432.9 MiB | K    9 | loss -2.718857794e-01 | Ndiff    0.152 
   20.000/200 after     99 sec. |   5432.9 MiB | K    9 | loss -2.718858135e-01 | Ndiff    0.123 
   21.000/200 after    103 sec. |   5432.9 MiB | K    9 | loss -2.718858576e-01 | Ndiff    0.108 
   22.000/200 after    110 sec. |   5432.9 MiB | K    9 | loss -2.718859530e-01 | Ndiff    0.149 
   23.000/200 after    115 sec. |   5432.9 MiB | K    9 | loss -2.718863209e-01 | Ndiff    0.309 
   24.000/200 after    120 sec. |   5432.9 MiB | K    9 | loss -2.718893642e-01 | Ndiff    1.121 
   25.000/200 after    126 sec. |   5432.9 MiB | K    9 | loss -2.719012257e-01 | Ndiff    0.952 
   26.000/200 after    131 sec. |   5432.9 MiB | K    9 | loss -2.719045393e-01 | Ndiff    0.440 
   27.000/200 after    137 sec. |   5432.9 MiB | K    9 | loss -2.719046457e-01 | Ndiff    0.081 
   28.000/200 after    142 sec. |   5432.9 MiB | K    9 | loss -2.719046668e-01 | Ndiff    0.048 
   29.000/200 after    148 sec. |   5432.9 MiB | K    9 | loss -2.719046749e-01 | Ndiff    0.041 
   30.000/200 after    152 sec. |   5432.9 MiB | K    9 | loss -2.719046788e-01 | Ndiff    0.030 
   31.000/200 after    157 sec. |   5432.9 MiB | K    9 | loss -2.719046810e-01 | Ndiff    0.024 
   32.000/200 after    163 sec. |   5432.9 MiB | K    9 | loss -2.719046823e-01 | Ndiff    0.019 
   33.000/200 after    168 sec. |   5432.9 MiB | K    9 | loss -2.719046830e-01 | Ndiff    0.012 
   34.000/200 after    174 sec. |   5432.9 MiB | K    9 | loss -2.719046835e-01 | Ndiff    0.012 
   35.000/200 after    181 sec. |   5432.9 MiB | K    9 | loss -2.719046838e-01 | Ndiff    0.008 
   36.000/200 after    187 sec. |   5432.9 MiB | K    9 | loss -2.719046840e-01 | Ndiff    0.006 
... done. converged.
